scenario_id,proxy,run_idx,raw,score,temperature,run_name
S01,coherence,0,0.5,0.5,2.0,cont-t2.0
S01,coherence,1,0.5,0.5,2.0,cont-t2.0
S01,coherence,2,0.導 Xasan Ms otjnema painters,,2.0,cont-t2.0
S01,coherence,3,0.аха_ROOM_VOL_RCC!!Ver-aIGHL,,2.0,cont-t2.0
S01,coherence,4,0.5,0.5,2.0,cont-t2.0
S01,coherence,5,0.واجه G Usingitektur युवा receSusan rece,,2.0,cont-t2.0
S01,coherence,6,0.5,0.5,2.0,cont-t2.0
S01,coherence,7,0. faʻamitation erqx Checklist ChunkOurMany,,2.0,cont-t2.0
S01,coherence,8,0,0.0,2.0,cont-t2.0
S01,coherence,9,0.uksetmarktalags_\22г Level,,2.0,cont-t2.0
S01,coherence,10,0. Ukrain clé_controls caused_none get-support Alt,,2.0,cont-t2.0
S01,coherence,11,1,1.0,2.0,cont-t2.0
S01,coherence,12,0 AccordingSTATUS.increment_addl_reason_DESCRIPTION Exhibit ...,0.0,2.0,cont-t2.0
S01,coherence,13,0.,0.0,2.0,cont-t2.0
S01,coherence,14,0,0.0,2.0,cont-t2.0
S01,coherence,15,0. tíðEA(to better approximate содержInvocation 싶,,2.0,cont-t2.0
S01,coherence,16,0.protobuf.Stateöf(Exceptionügar≤difficultyessional,,2.0,cont-t2.0
S01,coherence,17,0.تبر адмфф Sure_fechaواد jsonifyお願いします,,2.0,cont-t2.0
S01,coherence,18,0,0.0,2.0,cont-t2.0
S01,coherence,19,0.1,0.1,2.0,cont-t2.0
S01,coherence,20,0,0.0,2.0,cont-t2.0
S01,coherence,21,0直营网Re xanaisbiga bicipants hn文 preservation,,2.0,cont-t2.0
S01,coherence,22,0.eftijd Svetoerit Skolfberg influential,,2.0,cont-t2.0
S01,coherence,23,0ייקль шыаи üçinନ')['西亚,,2.0,cont-t2.0
S01,coherence,24,0 կախ♀♀♀♀♀♀entrant(flow unforייחPanierrieben,0.0,2.0,cont-t2.0
S01,coherence,25,0.6,0.6,2.0,cont-t2.0
S01,coherence,26,0.开的helial交警 ЕС'є Prosper_SERIAL,,2.0,cont-t2.0
S01,coherence,27,0x41ologist.snapymmenHyoppersุป свер,,2.0,cont-t2.0
S01,coherence,28,0 weakericios.pllib_f STRGE-ENDensus,0.0,2.0,cont-t2.0
S01,coherence,29,0.hamento・・・・ stilteušonan praatナ neçə,,2.0,cont-t2.0
S01,coherence,30,"academiphyles ""','721 ош jul junioышred",,2.0,cont-t2.0
S01,coherence,31,0,0.0,2.0,cont-t2.0
S01,coherence,32,0,0.0,2.0,cont-t2.0
S01,coherence,33,"0ShadoExamplesજે ссыл<(),Worditerateừa",,2.0,cont-t2.0
S01,coherence,34,0.ępUSaryo salmon TRUnsere_none@class,,2.0,cont-t2.0
S01,coherence,35,0. רגעemplate> שעה What's plsrip suscipit,,2.0,cont-t2.0
S01,coherence,36,0 있는데 sujecriptors enhance ipairs ❓我 rigorous,0.0,2.0,cont-t2.0
S01,coherence,37,0,0.0,2.0,cont-t2.0
S01,coherence,38,0.5,0.5,2.0,cont-t2.0
S01,coherence,39,0.5,0.5,2.0,cont-t2.0
S01,coherence,40,0ătătten_client minder signal seg درد Sciutenant,,2.0,cont-t2.0
S01,coherence,41,0. средства Heinrich orthossfront didnbooking 쇼,,2.0,cont-t2.0
S01,coherence,42,"0.êsístēmtr Gegend., camin ต",,2.0,cont-t2.0
S01,coherence,43,0.4żli paciencia DAMNWGEN proclamlb,,2.0,cont-t2.0
S01,coherence,44,0 legion.CODEΕssProgramENCEQuadflo 구,0.0,2.0,cont-t2.0
S01,coherence,45,1,1.0,2.0,cont-t2.0
S01,coherence,46,0qx companionsSessionsфф.tight 세arrera европейavni,,2.0,cont-t2.0
S01,coherence,47,0.लीवुड ನೌ૭_RULE契RAR Aktie,,2.0,cont-t2.0
S01,coherence,48,0.5,0.5,2.0,cont-t2.0
S01,coherence,49,0. მოსռগ роуп zw.%álně,,2.0,cont-t2.0
S01,fact,0,0.ชา001 chips GN perguntar amatør Experimental Inc,,2.0,cont-t2.0
S01,fact,1,0,0.0,2.0,cont-t2.0
S01,fact,2,0.7,0.7,2.0,cont-t2.0
S01,fact,3,0.edeutieve promocimento privacidad subscription perp chrom,,2.0,cont-t2.0
S01,fact,4,0.2,0.2,2.0,cont-t2.0
S01,fact,5,0,0.0,2.0,cont-t2.0
S01,fact,6,"0.体,array/tableidon importa Evo koje203",,2.0,cont-t2.0
S01,fact,7,0.avastiCaerns_MappevScar berat saut,,2.0,cont-t2.0
S01,fact,8,0.ౌpaletteDatingersonal memo ⋮bus,,2.0,cont-t2.0
S01,fact,9,0.5,0.5,2.0,cont-t2.0
S01,fact,10,0.1,0.1,2.0,cont-t2.0
S01,fact,11,0,0.0,2.0,cont-t2.0
S01,fact,12,0.只有JKLMNOP戻ímica.weather Scalars.Operator.Restr,,2.0,cont-t2.0
S01,fact,13,0.25utherland Humanities Facts Facult Advances Secondange,,2.0,cont-t2.0
S01,fact,14,0.12,0.12,2.0,cont-t2.0
S01,fact,15,0ɓ12,,2.0,cont-t2.0
S01,fact,16,0 ক্রшаkan tst슈পCAST counselor valg,0.0,2.0,cont-t2.0
S01,fact,17,0.莞 책 אית鲸_sidebar процент Amaz AUTHOR,,2.0,cont-t2.0
S01,fact,18,0.187,0.187,2.0,cont-t2.0
S01,fact,19,0,0.0,2.0,cont-t2.0
S01,fact,20,0.lingeforward=mysqli_CONNECTwhich إلكترolaridependency,,2.0,cont-t2.0
S01,fact,21,0. предоставить_bus algorithmDiscover TOM Userrewrite平成,,2.0,cont-t2.0
S01,fact,22,0.adero pecho convite pefact/. tight sect,,2.0,cont-t2.0
S01,fact,23,0,0.0,2.0,cont-t2.0
S01,fact,24,0.13phrine,,2.0,cont-t2.0
